Телескоп,Location,ID,Широта (град),Долгота (град),Высота над уровнем моря (км),Широта (рад),Долгота (рад),X  (км),Y  (км),Z  (км),0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300,315,330,345,360
Мульта СШС-22,Multa,10401,"50,172082","85,954881","0,9511","0,8756680235","1,5001956816","288,7843182896","4083,5936779526","4875,8008902009",26,25,20,10,8,14,14,14,13,10,15,11,12,15,16,15,14,13,10,8,8,10,20,25,26
Абастумани,Abastumani,10507,"41,754583","42,8225","1,5757","0,7287549511","0,7473936189","3495,9564627346","3239,8421858072","4226,3570064127",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Абастумани АС-32,Abastumani,10508,"41,7545829996","42,8224999997","1,5757","0,7287549511","0,7473936189","3495,9564627742","3239,8421858097","4226,3570063782",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Абастумани ОРИ-22,Abastumani,10509,"41,753859","42,819662","1,5871","0,728742315","0,7473440865","3496,1624625406","3239,711205866","4226,3045939656",20,36,12,6,7,8,9,11,7,0,0,0,0,4,14,4,10,5,8,8,12,10,13,15,20
Звенигород САНТЕЛ-500,Zvenigorod,10517,"55,6930791648","36,7575286019","0,198","0,972027602","0,641539899","2886,8207557924","2156,2822030509","5245,4211126329",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Лесосибирск ОРИ-22,Lesosibirsk,10526,"58,1833994818","92,5310171391","0,0930451","1,015491891","1,6149709093","-148,8540310653","3367,4838734406","5396,6136516548",60,60,60,1,5,7,8,10,10,15,15,18,20,20,25,30,30,35,40,40,50,60,60,60,60
Научный-1 ЗТШ,Nauchny-1,10531,"44,7278500093","34,0156666899","0,595","0,78064825","0,593685381","3762,5960904975","2539,4002880934","4466,3308373616",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-1 Цейсс-600,Nauchny-1,10532,"44,7295499751","34,0165999809","0,595","0,78067792","0,59370167","3762,4445194036","2539,3871951288","4466,4650613122",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-1 SRT-220,Nauchny-1,10533,"44,7263333327","34,0160399719","0,6128","0,780621779","0,593691896","3762,6883504138","2539,4982350314","4466,2236082931",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-1 РН-2а,Nauchny-1 PH-2а,10536,"44,7263333327","34,0160399719","0,6128","0,780621779","0,593691896","3762,6883504138","2539,4982350314","4466,2236082931",19,13,9,8,10,12,13,14,9,12,19,19,21,15,10,9,13,10,15,20,14,15,21,20,19
Научный-1 РН-2b,Nauchny-1 PH-2b,10537,"44,7263333327","34,0160399719","0,6128","0,780621779","0,593691896","3762,6883504138","2539,4982350314","4466,2236082931",15,13,19,23,24,25,26,24,23,19,29,37,44,29,21,9,10,13,16,17,23,24,20,20,15
Научный-1 ДИН-400,Nauchny-1,10539,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2,Nauchny-2,10540,"44,729626","34,016533","0,6015","0,7806792469","0,593700501","3762,4463869815","2539,3820535571","4466,4756383644",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 SRT-220,Nauchny-2,10541,"44,7296141463","34,0165416538","0,6015","0,78067904","0,593700652","3762,446771912","2539,3831404872","4466,4747024492",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 HGB-500,Nauchny-2,10542,"44,739508","34,011737","0,5638","0,7808517203","0,593616795","3761,9959977967","2538,6197507574","4467,2292760013",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Научный-2 GenonMax,Nauchny-2,10543,"44,7296978","34,0167282","0,594404","0,7806805","0,5937039078","3762,4289022576","2539,3889098496","4466,4763134765",15,5,5,5,5,5,5,5,5,12,14,16,20,20,21,25,28,30,50,45,40,35,30,15,15
Научный-2 GenonMax,Nauchny-2,10544,"44,739348","34,0111616","0,5633","0,7808489278","0,5936067523","3762,0315727718","2538,5887727321","4467,2162933447",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Архыз ММТ Зел3,Arhyz,10550,"41,431877","43,649799","2,0726","0,7231226689","0,7618327104","3466,3029889404","3306,6653696775","4199,8742252946",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Пико дос Диас OWL-75O,Pico dos Dias,10631,"-22,5350000036","-45,5827777533","1,864","-0,393309947","-0,795569554","4126,3118668696","-4211,118047776","-2429,9516775801",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Пико дос Диас OWL-25,Pico dos Dias,10633,"-22,5350000036","-45,5827777533","1,864","-0,393309947","-0,795569554","4126,3118668696","-4211,118047776","-2429,9516775801",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Пико дос Диас OWL-5,Pico dos Dias,10634,"-22,5350000036","-45,5827777533","1,864","-0,393309947","-0,795569554","4126,3118668696","-4211,118047776","-2429,9516775801",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Андрушевка S-600,Andrushivka,10901,"50,0005559984","28,997306011","0,24","0,87267433","0,5060984641","3593,006016904","1991,4149152847","4863,0126416732",15,5,2,2,1,1,1,1,1,1,2,1,1,2,4,5,3,2,1,1,1,1,2,5,15
Андрушевка ОРИ-22,Andrushivka,10902,"50,0005559984","28,997306011","0,24","0,87267433","0,5060984641","3593,006016904","1991,4149152847","4863,0126416732",2,2,2,1,2,1,2,1,1,2,2,5,15,5,3,5,3,2,1,1,1,1,2,5,2
Андрушевка Цейсс-600,Andrushivka,10903,"50,000453","28,997463","0,233","0,8726725323","0,5061012041","3593,0043013464","1991,4268334138","4862,9999150834",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Андрушевка,Andrushivka,10904,"50,000453","28,997463","0,233","0,8726725323","0,5061012041","3593,0043013464","1991,4268334138","4862,9999150834",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Андрушевка ОРИ-50М,Andrushivka,10905,"50,000859","28,997964","0,22698","0,8726796184","0,5061099482","3592,9532451398","1991,4396039599","4863,0243317519",15,15,12,11,10,9,10,9,8,9,10,12,19,15,5,9,12,6,4,4,3,7,10,12,15
Ростов МИД-40,Rostov,10950,"47,1710679","39,765048","0,10622","0,8232904465","0,6940310148","3338,9898693592","2778,4924182138","4654,7921832717",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Китаб RC-360,Kitab,10951,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Тирасполь VT-53e,Tiraspol,10961,"46,833951","29,592439","0,0621","0,8174066467","0,5164854942","3801,0318971307","2158,6232217672","4629,201163121",21,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,17,20,21
Тирасполь SRT-220,Tiraspol,10962,"46,833941","29,592447","0,0621","0,8174064721","0,5164856339","3801,0323008002","2158,624152904","4629,2004025993",21,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,17,20,21
Тирасполь ОРИ-25,Tiraspol,10963,"46,833942","29,592437","0,0621","0,8174064896","0,5164854593","3801,0326070441","2158,6234494574","4629,2004786515",21,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,17,20,21
Тирасполь VT-78a,Tiraspol,10964,"46,833949","29,59244","0,0621","0,8174066118","0,5164855117","3801,0320004697","2158,6233681902","4629,2010110167",21,15,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,17,20,21
Тирасполь VT-78a,Tiraspol,10965,"46,833949","29,59244","0,0621","0,8174066118","0,5164855117","3801,0320004697","2158,6233681902","4629,2010110167",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Благовещенск VT-53e,Blagoveshchensk,10970,"50,31883488","127,4822789","0,22564","0,8782293444","2,2249855048","-2483,2184037018","3238,2665379441","4885,6832440604",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск HGB-500,Kislovodsk,10982,"43,740534","42,653773","2,0875","0,7634163349","0,7444487772","3395,5992469104","3128,3001476686","4388,7516377557",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск VT-53e,Kislovodsk,10990,"43,740331","42,653458","2,0850013","0,7634127919","0,7444432795","3395,6265906234","3128,2908256625","4388,7336094856",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Москва VT-53e,Moscow,10991,"55,80364","37,54794","0,1866","0,9739572526","0,6553351803","2848,728181008","2189,6954292799","5252,3400579411",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кисловодск ОРИ-25,Kislovodsk,10993,"43,740331","42,653458","2,0850013","0,7634127919","0,7444432795","3395,6265906234","3128,2908256625","4388,7336094856",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Краснодар МАК-254,Krasnodar,10997,"45,020222","39,0307745","0,071","0,7857511039","0,6812155246","3508,1043235802","2843,9280900406","4488,9874394086",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Вым2 VT-78a,Moscow,10998,"55,858133","37,43395","0,2282","0,9749083349","0,6533456795","2849,1113002332","2180,9863349566","5255,7821446281",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Кейптаун Cosatrak-1,Capetown,11443,"-33,9405799979","18,5129399872","0,01","-0,592374871","0,323111757","5022,8427226988","1681,8811458488","-3540,9860697715",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Сайдинг-Спринг ASA 16"" Deltagraph",Siding spring,99920,"-31,2733055556","149,0698333333","1,118","-0,5458221499","2,6017594071","-4681,2226990433","2805,0025686932","-3292,4103564535",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Нью-Мексико САНТЕЛ-400,New Mexico,99927,"32,903284","-105,52854","2,217","0,5742706405","-1,8418204778","-1435,5513885249","-5166,4363008621","3446,1623310816",17,17,17,16,16,16,16,16,16,15,15,14,14,14,15,15,16,16,16,16,16,17,17,17,17
Чугуев АЗТ-8,Chuguev,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
'Монды АЗТ-33ВМ',Mondy',10203,"51,620279","100,922956",2,"0,9009438293","1,761437873","-752,15869552","3897,4942935907","4978,2498497959",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
